Date,State,Series_Complete_Yes,Booster_Doses,MMWR_week
2022-03-24,UT,2042857.0,889973.0,12
2022-03-24,TX,17586929.0,6427676.0,12
2022-03-24,TN,3683811.0,1583604.0,12
2022-03-24,SD,534203.0,217066.0,12
2022-03-24,SC,2906373.0,1130955.0,12
2022-03-24,RI,862443.0,451296.0,12
2022-03-24,PW,18047.0,11244.0,12
2022-03-24,PR,2618468.0,1446545.0,12
2022-03-24,PA,8640788.0,3605549.0,12
2022-03-24,OR,2913516.0,1522775.0,12
2022-03-24,OK,2234691.0,822111.0,12
2022-03-24,OH,6775887.0,3458687.0,12
2022-03-24,NY,14796634.0,6611945.0,12
2022-03-24,NV,1852912.0,699394.0,12
2022-03-24,NM,1472271.0,716874.0,12
2022-03-24,NJ,6645957.0,3066831.0,12
2022-03-24,NH,925389.0,304116.0,12
2022-03-24,NE,1216730.0,594593.0,12
2022-03-24,ND,416107.0,167686.0,12
2022-03-24,NC,6270013.0,1620470.0,12
2022-03-24,MT,602076.0,282331.0,12
2022-03-24,MS,1529426.0,557276.0,12
2022-03-24,MP,43106.0,20092.0,12
2022-03-24,MO,3406870.0,1415923.0,12
2022-03-24,MN,3871896.0,2188091.0,12
2022-03-24,MI,5959340.0,3178400.0,12
2022-03-24,MH,25058.0,5259.0,12
2022-03-24,ME,1057812.0,576764.0,12
2022-03-24,MD,4509202.0,2238397.0,12
2022-03-24,MA,5381252.0,2704954.0,12
2022-03-24,LA,2468349.0,953671.0,12
2022-03-24,KY,2541159.0,1104250.0,12
2022-03-24,KS,1769151.0,741956.0,12
2022-03-24,IN,3663884.0,1641169.0,12
2022-03-24,IL,8633065.0,4312133.0,12
2022-03-24,ID,956589.0,395234.0,12
2022-03-24,IA,1939278.0,1012639.0,12
2022-03-24,HI,60.0,60.0,12
2022-03-24,GU,137979.0,58333.0,12
2022-03-24,GA,5746575.0,2060432.0,12
2022-03-24,FM,53151.0,10601.0,12
2022-03-24,FL,14251619.0,5566050.0,12
2022-03-24,DE,664214.0,294550.0,12
2022-03-24,DC,512641.0,184326.0,12
2022-03-24,CT,2790867.0,1413620.0,12
2022-03-24,CO,4011858.0,2035596.0,12
2022-03-24,CA,28057360.0,13845834.0,12
2022-03-24,AZ,4426324.0,1790990.0,12
2022-03-24,AS,40116.0,18146.0,12
2022-03-24,AR,1626593.0,626384.0,12
2022-03-24,AL,2480282.0,863092.0,12
2022-03-24,AK,450551.0,189845.0,12
2022-03-23,WY,294946.0,124522.0,12
2022-03-23,WV,1023057.0,458282.0,12
2022-03-23,WI,3783759.0,2088317.0,12
2022-03-23,WA,5477458.0,2794790.0,12
2022-03-23,VT,501999.0,297413.0,12
2022-03-23,VI,56365.0,16161.0,12
2022-03-23,VA,6182195.0,2866775.0,12
2022-03-23,UT,2042834.0,889942.0,12
2022-03-23,TX,17575949.0,6407775.0,12
2022-03-23,TN,3682907.0,1582119.0,12
2022-03-23,SD,534018.0,216782.0,12
2022-03-23,SC,2906287.0,1130900.0,12
2022-03-23,RI,862121.0,450763.0,12
2022-03-23,PW,18046.0,11243.0,12
2022-03-23,PR,2618459.0,1446541.0,12
2022-03-23,PA,8636075.0,3599651.0,12
2022-03-23,OR,2912991.0,1521378.0,12
2022-03-23,OK,2233463.0,820583.0,12
2022-03-23,OH,6774153.0,3455664.0,12
2022-03-23,NY,14792735.0,6606116.0,12
2022-03-23,NV,1852396.0,698765.0,12
2022-03-23,NM,1471836.0,716168.0,12
2022-03-23,NJ,6644161.0,3063733.0,12
2022-03-23,NH,913193.0,294046.0,12
