,fips,Vaccination,Masks,Close_schools,Date,week
443,51,0,0,1,2021-02-09,55
444,51,0,1,1,2021-04-13,64
445,51,1,1,1,2021-04-18,64
446,51,1,0,1,2021-05-04,67
447,51,1,0,0,2021-07-07,76
448,51,1,0,1,2022-01-24,105
449,51,1,0,0,2022-02-22,109
450,51,1,0,1,2022-03-09,111
451,51,1,0,0,2022-03-21,113
452,51,0,0,0,2022-05-03,119
453,50,0,0,0,2020-01-01,-3
454,50,0,0,1,2020-03-16,8
455,50,0,1,1,2020-08-01,27
456,50,1,1,1,2021-04-20,65
457,50,0,0,1,2021-04-26,66
458,50,1,1,1,2021-04-27,66
459,50,1,0,1,2021-05-14,68
460,50,1,0,0,2021-06-15,73
461,50,1,0,1,2021-12-17,99
462,50,1,0,0,2021-12-20,100
463,50,1,0,1,2022-01-26,105
464,50,1,0,0,2022-02-01,106
465,50,0,0,0,2022-04-26,118
466,53,0,0,0,2020-01-01,-3
467,53,0,0,1,2020-03-17,8
468,53,0,1,1,2020-06-26,22
469,53,1,1,1,2021-04-15,64
470,53,1,1,0,2021-05-24,70
471,53,1,0,0,2021-06-01,71
472,53,1,1,0,2021-08-23,83
473,53,1,0,0,2021-11-04,93
474,53,1,1,0,2022-03-02,110
475,53,1,0,0,2022-03-12,111
476,53,0,0,0,2022-05-03,119
477,55,0,0,0,2020-01-01,-3
478,55,0,0,1,2020-03-18,8
479,55,0,1,1,2020-07-16,25
480,55,1,1,1,2021-04-05,63
481,55,1,0,0,2021-06-15,73
482,55,1,1,0,2021-07-05,76
483,55,1,0,0,2022-04-19,117
484,55,0,0,0,2022-04-26,118
485,54,0,0,0,2020-01-01,-3
486,54,0,0,1,2020-03-13,7
487,54,0,1,1,2020-11-13,42
488,54,0,1,0,2021-02-23,57
489,54,1,1,0,2021-03-22,61
490,54,1,0,0,2021-04-19,65
491,54,0,0,0,2021-05-24,70
492,54,1,0,0,2021-05-25,70
493,54,1,0,1,2021-11-10,94
494,54,1,0,0,2021-11-21,95
495,54,1,0,1,2022-02-01,106
496,54,1,0,0,2022-02-15,108
497,54,0,0,0,2022-05-03,119
498,56,0,0,0,2020-01-01,-3
499,56,0,0,1,2020-03-19,8
500,56,0,0,0,2020-09-28,36
501,56,0,0,1,2020-10-28,40
502,56,0,0,0,2020-12-30,49
503,56,1,0,0,2021-04-19,65
504,56,0,0,0,2022-04-26,118
