geoid,county,state,pageRank
53005,Benton,Washington,1.7017260413814492
20123,Mitchell,Kansas,1.6998112963805425
49049,Utah,Utah,1.699531775484098
12091,Okaloosa,Florida,1.6910319353975067
13175,Laurens,Georgia,1.6880281618274255
18051,Gibson,Indiana,1.6859228582021384
13069,Coffee,Georgia,1.6843108122516324
30085,Roosevelt,Montana,1.6823079281561217
12033,Escambia,Florida,1.6816727232983935
35028,Los Alamos,New Mexico,1.6769083592430831
37133,Onslow,North Carolina,1.6759011467370362
13299,Ware,Georgia,1.674903238690784
17199,Williamson,Illinois,1.6727852666772571
28151,Washington,Mississippi,1.6724199930589576
51107,Loudoun,Virginia,1.6721985743314647
72013,Arecibo Municipio,Puerto Rico,1.6705143549038242
46102,Oglala Lakota,South Dakota,1.6629332290275742
26099,Macomb,Michigan,1.6547653835507758
19021,Buena Vista,Iowa,1.6541781185418853
39063,Hancock,Ohio,1.6535935726614557
08067,La Plata,Colorado,1.6523348737199035
18089,Lake,Indiana,1.6505101384687015
26047,Emmet,Michigan,1.6497919584594158
37049,Craven,North Carolina,1.6488885714044919
51165,Rockingham,Virginia,1.6484569460229759
28067,Jones,Mississippi,1.6452703843792815
51775,Salem city,Virginia,1.645062347750364
38071,Ramsey,North Dakota,1.637282998864053
21019,Boyd,Kentucky,1.6282160591631762
48449,Titus,Texas,1.627829102753665
44007,Providence,Rhode Island,1.6269450764348532
36065,Oneida,New York,1.626471049406825
39151,Stark,Ohio,1.6208567067601367
31047,Dawson,Nebraska,1.619857364169759
17163,St. Clair,Illinois,1.6173226064577757
04019,Pima,Arizona,1.6131490433464934
05063,Independence,Arkansas,1.6104614028895083
02110,Juneau City and Borough,Alaska,1.6101166976508854
17119,Madison,Illinois,1.6081944342058936
42041,Cumberland,Pennsylvania,1.6071854089215487
08101,Pueblo,Colorado,1.606705795563496
29213,Taney,Missouri,1.604793232528462
48415,Scurry,Texas,1.599972250290991
30087,Rosebud,Montana,1.5952676056045283
46005,Beadle,South Dakota,1.5924970190401009
31089,Holt,Nebraska,1.587563136989399
48487,Wilbarger,Texas,1.5859224106740182
27135,Roseau,Minnesota,1.5814838239506273
19111,Lee,Iowa,1.5803577003662204
36119,Westchester,New York,1.5791271719684135
53071,Walla Walla,Washington,1.5751344484550742
17029,Coles,Illinois,1.5723060533142101
12103,Pinellas,Florida,1.5712497518804553
21151,Madison,Kentucky,1.5692934846296793
40123,Pontotoc,Oklahoma,1.5654485677679946
05051,Garland,Arkansas,1.5647574427433997
26043,Dickinson,Michigan,1.5633767662202025
08107,Routt,Colorado,1.5587939357889133
20009,Barton,Kansas,1.557762161856636
56021,Laramie,Wyoming,1.557362155035636
35045,San Juan,New Mexico,1.5519098207461646
34003,Bergen,New Jersey,1.5516953250517849
37189,Watauga,North Carolina,1.5514718529927232
40065,Jackson,Oklahoma,1.5508395063923777
29183,St. Charles,Missouri,1.5472817240636785
12011,Broward,Florida,1.546632532836738
35015,Eddy,New Mexico,1.5417772797266869
08097,Pitkin,Colorado,1.5271211704435734
05001,Arkansas,Arkansas,1.5262919128750547
13279,Toombs,Georgia,1.526268580049278
42069,Lackawanna,Pennsylvania,1.5260680967334803
53025,Grant,Washington,1.5236590464472162
17179,Tazewell,Illinois,1.522523712253426
37055,Dare,North Carolina,1.52195654742803
48005,Angelina,Texas,1.5213324303520817
41047,Marion,Oregon,1.5209924402095916
55141,Wood,Wisconsin,1.5203918760710793
48111,Dallam,Texas,1.5184157959031728
29127,Marion,Missouri,1.5054776100421206
23011,Kennebec,Maine,1.502782592129421
22015,Bossier Parish,Louisiana,1.497922748238505
53075,Whitman,Washington,1.492931618005215
28105,Oktibbeha,Mississippi,1.492210009789376
12115,Sarasota,Florida,1.4903575408781444
34013,Essex,New Jersey,1.4866953902333802
27067,Kandiyohi,Minnesota,1.4823719044071664
41039,Lane,Oregon,1.4818885282603687
25021,Norfolk,Massachusetts,1.4803975635293043
26061,Houghton,Michigan,1.4795219096182548
40121,Pittsburg,Oklahoma,1.4792338617799456
48049,Brown,Texas,1.4791612877170797
26007,Alpena,Michigan,1.4781380857125874
30083,Richland,Montana,1.4740421991961372
31013,Box Butte,Nebraska,1.4712799941983363
48215,Hidalgo,Texas,1.4706139452204312
40119,Payne,Oklahoma,1.4681325608895217
05009,Boone,Arkansas,1.4667829607869851
18067,Howard,Indiana,1.450544129759782
34027,Morris,New Jersey,1.4481099120963636
13031,Bulloch,Georgia,1.4467037710825326
12071,Lee,Florida,1.4465649610469713
37135,Orange,North Carolina,1.4401637332413064
05115,Pope,Arkansas,1.4385101420434243
