sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
2020/5/20,217.7194906,Northeast,PA,"Dauphin County, PA",42043
2020/5/20,4.681073741,West,OR,"Deschutes County, OR",41017
2020/5/20,0,West,NV,"Elko County, NV",32007
2020/5/20,34.89376171,Northeast,PA,"Erie County, PA",42049
2020/5/20,43.4178796,Northeast,NJ,"Essex County, NJ",34013
2020/5/20,374.1639521,Northeast,PA,"Franklin County, PA",42055
2020/5/20,267.4795518,South,TN,"Hamilton County, TN",47065
2020/5/20,35.20494399,Northeast,MA,"Hampshire County, MA",25015
2020/5/20,54.00876298,South,KY,"Harrison County, KY",21097
2020/5/20,194.2741882,Northeast,CT,"Hartford County, CT",9003
2020/5/20,196.5401752,Midwest,MN,"Hennepin County, MN",27053
2020/5/20,1.826014704,Northeast,PA,"Indiana County, PA",42063
2020/5/20,36.91282989,South,KY,"Jefferson County, KY",21111
2020/5/20,113.531791,Midwest,IN,"Lake County, IN",18089
2020/5/20,1.996736733,West,ID,"Latah County, ID",16057
2020/5/20,44.93506331,South,FL,"Miami-Dade County, FL",12086
2020/5/20,10.53302255,Northeast,CT,"Middlesex County, CT",9007
2020/5/20,0,West,CA,"Monterey County, CA",6053
2020/5/20,18.92317938,Northeast,PA,"Montgomery County, PA",42091
2020/5/20,7.28579273,Northeast,NY,"Nassau County, NY",36059
2020/5/20,167.3115234,Northeast,DE,"New Castle County, DE",10003
2020/5/20,0.79199007,South,OK,"Oklahoma County, OK",40109
2020/5/20,396.1557939,South,FL,"Palm Beach County, FL",12099
2020/5/20,0,West,MT,"Park County, MT",30067
2020/5/20,0,Northeast,ME,"Penobscot County, ME",23019
2020/5/20,65.24967376,Midwest,IL,"Peoria County, IL",17143
2020/5/20,3.150101313,West,AZ,"Pima County, AZ",4019
2020/5/20,3.43916057,West,CA,"Placer County, CA",6061
2020/5/20,282.3745271,South,VA,"Stafford County, VA",51179
2020/5/20,58.13068048,Midwest,IN,"Steuben County, IN",18151
2020/5/20,127.3250581,Northeast,MA,"Suffolk County, MA",25025
2020/5/20,1.978303513,Midwest,IN,"Tippecanoe County, IN",18157
2020/5/20,0,Northeast,MA,"Town and County of Nantucket, MA",25019
2020/5/20,28.05960481,Northeast,NJ,"Union County, NJ",34039
2020/5/20,0,Northeast,RI,"Washington County, RI",44009
2020/5/20,0,Northeast,PA,"Westmoreland County, PA",42129
2020/5/20,5.316619451,West,OR,"Yamhill County, OR",41071
2020/5/20,4.588295832,West,AZ,"Yavapai County, AZ",4025
2020/5/27,20.98163819,West,ID,"Ada County, ID",16001
2020/5/27,69.74039524,West,CO,"Arapahoe County, CO",8005
2020/5/27,10.24175602,South,FL,"Brevard County, FL",12009
2020/5/27,412.8780258,Northeast,PA,"Dauphin County, PA",42043
2020/5/27,2.303685492,West,OR,"Deschutes County, OR",41017
2020/5/27,17.82244877,West,NV,"Elko County, NV",32007
2020/5/27,56.87278916,Northeast,PA,"Erie County, PA",42049
2020/5/27,27.57757466,Northeast,NJ,"Essex County, NJ",34013
2020/5/27,0,Northeast,CT,"Fairfield County, CT",9001
2020/5/27,173.3855848,Northeast,PA,"Franklin County, PA",42055
2020/5/27,567.0001792,South,TN,"Hamilton County, TN",47065
2020/5/27,14.81028523,Northeast,MA,"Hampshire County, MA",25015
2020/5/27,259.2420623,South,KY,"Harrison County, KY",21097
2020/5/27,206.1280957,Midwest,MN,"Hennepin County, MN",27053
2020/5/27,2.525308468,Northeast,PA,"Indiana County, PA",42063
2020/5/27,142.4435929,South,KY,"Jefferson County, KY",21111
