ResState,PoWState,Workers
Idaho,Colorado,359
Idaho,Connecticut,4
Idaho,District of Columbia,39
Idaho,Florida,85
Idaho,Georgia,93
Idaho,Hawaii,40
Idaho,Illinois,226
Idaho,Indiana,118
Idaho,Iowa,133
Idaho,Kansas,3
Idaho,Kentucky,3
Idaho,Louisiana,42
Idaho,Massachusetts,85
Idaho,Michigan,19
Idaho,Minnesota,15
Idaho,Mississippi,3
Idaho,Missouri,50
Idaho,Montana,942
Idaho,Nebraska,66
Idaho,Nevada,1099
Idaho,New Hampshire,3
Idaho,New Jersey,58
Idaho,New Mexico,64
Idaho,New York,105
Idaho,North Carolina,59
Idaho,North Dakota,1644
Idaho,Ohio,76
Idaho,Oklahoma,26
Idaho,Oregon,5869
Idaho,Pennsylvania,50
Idaho,South Carolina,181
Idaho,South Dakota,39
Idaho,Tennessee,74
Idaho,Texas,226
Idaho,Utah,3619
Idaho,Virginia,85
Idaho,Washington,18986
Idaho,West Virginia,21
Idaho,Wisconsin,68
Idaho,Wyoming,2880
Illinois,Alabama,285
Illinois,Alaska,44
Illinois,Arizona,437
Illinois,Arkansas,468
Illinois,California,2121
Illinois,Colorado,471
Illinois,Connecticut,323
Illinois,Delaware,99
Illinois,District of Columbia,488
Illinois,Florida,1384
Illinois,Georgia,1158
Illinois,Hawaii,71
Illinois,Idaho,72
Illinois,Indiana,34843
Illinois,Iowa,33413
Illinois,Kansas,433
Illinois,Kentucky,4131
Illinois,Louisiana,315
Illinois,Maine,45
Illinois,Maryland,390
Illinois,Massachusetts,629
Illinois,Michigan,2236
Illinois,Minnesota,1075
Illinois,Mississippi,189
Illinois,Missouri,83063
Illinois,Montana,104
Illinois,Nebraska,722
Illinois,Nevada,263
Illinois,New Hampshire,73
Illinois,New Jersey,705
Illinois,New Mexico,60
Illinois,New York,1532
Illinois,North Carolina,943
Illinois,North Dakota,201
Illinois,Ohio,1620
Illinois,Oklahoma,293
Illinois,Oregon,175
Illinois,Pennsylvania,1183
Illinois,Rhode Island,136
Illinois,South Carolina,186
Illinois,South Dakota,66
Illinois,Tennessee,1058
Illinois,Texas,2073
Illinois,Utah,52
Illinois,Vermont,42
Illinois,Virginia,833
Illinois,Washington,253
Illinois,West Virginia,20
Illinois,Wisconsin,23812
Illinois,Wyoming,58
Indiana,Alabama,333
Indiana,Alaska,133
Indiana,Arizona,124
Indiana,Arkansas,193
Indiana,California,772
Indiana,Colorado,289
Indiana,Connecticut,103
Indiana,Delaware,10
Indiana,District of Columbia,202
Indiana,Florida,583
Indiana,Georgia,402
Indiana,Hawaii,24
Indiana,Idaho,64
Indiana,Illinois,66738
Indiana,Iowa,558
Indiana,Kansas,122
Indiana,Kentucky,52327
Indiana,Louisiana,220
Indiana,Maine,29
Indiana,Maryland,318
Indiana,Massachusetts,194
Indiana,Michigan,9744
Indiana,Minnesota,386
Indiana,Mississippi,111
Indiana,Missouri,734
Indiana,Nebraska,135
Indiana,Nevada,37
Indiana,New Jersey,384
Indiana,New Mexico,22
Indiana,New York,491
Indiana,North Carolina,453
Indiana,North Dakota,188
Indiana,Ohio,25318
Indiana,Oklahoma,153
Indiana,Oregon,57
Indiana,Pennsylvania,624
Indiana,Puerto Rico,9
Indiana,Rhode Island,14
Indiana,South Carolina,248
Indiana,South Dakota,76
Indiana,Tennessee,926
Indiana,Texas,815
Indiana,Utah,39
Indiana,Vermont,52
Indiana,Virginia,266
Indiana,Washington,124
Indiana,West Virginia,132
Indiana,Wisconsin,561
Indiana,Wyoming,14
Iowa,Alabama,54
Iowa,Alaska,14
Iowa,Arizona,88
Iowa,Arkansas,127
Iowa,California,225
Iowa,Colorado,240
Iowa,District of Columbia,15
Iowa,Florida,162
Iowa,Georgia,154
Iowa,Hawaii,15
Iowa,Idaho,16
